,Taxa,MeanDecreaseGini,pvalue
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Intestinimonas,g__Intestinimonas,0.211372651,4.30E-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminiclostridium 9,g__Ruminiclostridium 9,0.208716091,7.88E-09
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Slackia,g__Slackia,0.204065253,6.41E-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminiclostridium 6,g__Ruminiclostridium 6,0.197215698,1.19E-07
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter,g__Citrobacter,0.181428083,1.23E-06
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella,g__Olsenella,0.180229077,0.001097051
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus 2,g__Coprococcus 2,0.171705781,3.71E-08
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Mesorhizobium,g__Mesorhizobium,0.170685241,9.57E-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__[Eubacterium] xylanophilum group,g__[Eubacterium] xylanophilum group,0.170000772,8.06E-08
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mollicutes RF39|f__gut metagenome|g__gut metagenome,g__gut metagenome,0.167633671,1.31E-05
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Gordonibacter,g__Gordonibacter,0.158450862,2.89E-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Family XIII|g__[Eubacterium] brachy group,g__[Eubacterium] brachy group,0.156568344,8.80E-06
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter,g__Methanobrevibacter,0.155065487,4.00E-06
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mollicutes RF39|f__uncultured bacterium|g__uncultured bacterium,g__uncultured bacterium,0.1520974,5.93E-06
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales|f__Burkholderiaceae|g__Sutterella,g__Sutterella,0.149631455,6.41E-05
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella 7,g__Prevotella 7,0.148175433,0.001097051
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Butyricimonas,g__Butyricimonas,0.14717958,3.82E-07
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium,g__Eubacterium,0.144274973,0.000214092
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella 2,g__Prevotella 2,0.143464058,4.00E-06
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__[Eubacterium] ruminantium group,g__[Eubacterium] ruminantium group,0.138990278,8.06E-08
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae UCG-010,g__Lachnospiraceae UCG-010,0.130847818,8.34E-07
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc,g__Leuconostoc,0.130816615,0.001661694
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriales Incertae Sedis|g__Raoultibacter,g__Raoultibacter,0.12475697,0.001661694
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus,g__Anaerotruncus,0.123595653,0.000482403
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae UCG-010,g__Ruminococcaceae UCG-010,0.117967139,1.31E-05
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania,g__Holdemania,0.116534013,0.000726514
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Family XI|g__Finegoldia,g__Finegoldia,0.114932785,0.001097051
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__[Eubacterium] fissicatena group,g__[Eubacterium] fissicatena group,0.11168555,6.41E-05
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio,g__Desulfovibrio,0.110262979,4.00E-06
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella,g__Eisenbergiella,0.109232788,0.000321048
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus,g__Coprobacillus,0.109210496,0.005921537
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae UCG-008,g__Ruminococcaceae UCG-008,0.106810476,0.014266187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Family XIII|g__Family XIII UCG-001,g__Family XIII UCG-001,0.095043311,6.41E-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Raoultella,g__Raoultella,0.08969245,0.022494271
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__metagenome,g__metagenome,0.085954681,0.001661694
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Negativibacillus,g__Negativibacillus,0.08589095,0.000321048
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lactonifactor,g__Lactonifactor,0.081081925,0.000726514
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__DTU089,g__DTU089,0.076152377,0.000482403
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,g__Prevotella,0.074893354,0.000321048
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium,g__Solobacterium,0.073736438,0.009151689
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GCA-900066225,g__GCA-900066225,0.073721309,0.000726514
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella,g__Alloprevotella,0.070247762,0.002526174
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Acetitomaculum,g__Acetitomaculum,0.068808299,0.014266187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Fournierella,g__Fournierella,0.066851652,0.000726514
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Moryella,g__Moryella,0.065090797,0.002526174
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|g__Catabacter,g__Catabacter,0.064229424,0.005921537
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__CAG-352,g__CAG-352,0.06337509,0.001661694
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Leifsonia,g__Leifsonia,0.061937995,0.014266187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae UCG-003,g__Lachnospiraceae UCG-003,0.061172866,0.001097051
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia,g__Rothia,0.060775345,0.009151689
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter,g__Coprobacter,0.060625258,0.001097051
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella 6,g__Prevotella 6,0.057774797,0.014266187
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus,g__Vagococcus,0.055313804,0.022494271
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Tyzzerella,g__Tyzzerella,0.054358969,0.003857293
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__uncultured|g__uncultured bacterium,g__uncultured bacterium,0.053501433,0.036031686
k__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__Saccharimonadaceae|g__uncultured Candidatus Saccharibacteria bacterium,g__uncultured Candidatus Saccharibacteria bacterium,0.050760705,0.003857293
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Family XI|g__Parvimonas,g__Parvimonas,0.050725689,0.002526174
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Peptococcus,g__Peptococcus,0.049895795,0.022494271
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Family XI|g__Ezakiella,g__Ezakiella,0.049452289,0.014266187
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mollicutes RF39|f__uncultured bacterium adhufec202|g__uncultured bacterium adhufec202,g__uncultured bacterium adhufec202,0.048849592,0.022494271
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae UCG-009,g__Ruminococcaceae UCG-009,0.047576905,0.005921537
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera,g__Methanosphaera,0.03981368,0.036031686
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Howardella,g__Howardella,0.03946515,0.014266187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GCA-900066575,g__GCA-900066575,0.037956103,0.022494271
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Family XI|g__Peptoniphilus,g__Peptoniphilus,0.037865108,0.014266187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus,g__Peptostreptococcus,0.037463953,0.036031686
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium,g__Corynebacterium,0.034721509,0.022494271
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium,g__Atopobium,0.033381581,0.036031686
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas,g__Porphyromonas,0.031342744,0.022494271
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|g__Christensenella,g__Christensenella,0.029252716,0.014266187
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales|f__Burkholderiaceae|g__Oxalobacter,g__Oxalobacter,0.027783639,0.022494271
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__uncultured bacterium,g__uncultured bacterium,0.027430003,0.022494271
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Family XI|g__Anaerococcus,g__Anaerococcus,0.02325198,0.036031686
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Candidatus Soleaferrea,g__Candidatus Soleaferrea,0.021361444,0.022494271
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales vadinBB60 group|g__uncultured bacterium,g__uncultured bacterium,0.019619489,0.036031686
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Family XIII|g__[Eubacterium] nodatum group,g__[Eubacterium] nodatum group,0.018935176,0.036031686
