"","FJSYCA1001","FJSYCA1002","FJSYCA1003","FJSYCA1004","FJSYCA1007","FJSYCA1011","FJSYCA1012","FJSYCA1016","FJSYCA1018","FJSYCA1021","FJSYCA1027","FJSYCA1029","FJSYCA1032","FJSYCA1035","FJSYCA1038","FJSYCA1041","FJSYCA1043","FJSYCA1044","FJSYCA1048","FJSYCA1049","FJSYCA1051","FJSYCA1052","FJSYCA1057","FJSYCA1059","FJSYCA1066","FJSYCA1067","FJSYCA1069","FJSYCA1071","FJSYCA1079","FJSYCA1080","FJSYCA1083","FJSYCA1089","FJSYCA1092","FJSYCA1093","FJSYCA1094","FJSYCA1095","FJSYCA1096","FJSYCA1099","FJSYCA1103","FJSYCA1110","FJSYCA1113","FJSYCA1118","FJSYCA1120","FJSYCA1127","FJSYCA1128","FJSYCA1129","FJSYCA1130","FJSYCA1131","FJSYCA1132","FJSYCA1133","FJSYCA1135","FJSYCA1136","FJSYCA1138","FJSYCA1140","FJSYCA1141","FJSYCA1142","FJSYCA1144","FJSYCA1145","FJSYCA1146","FJSYCA1148","FJSYCA1149","FJSYCA1150","FJSYCA1151","FJSYCA1152","FJSYCA1153","FJSYCA1154","FJSYCA1158","FJSYCA1159","FJSYCA1160","FJSYCA1163","FJSYCA1164","FJSYCA1165","FJSYCA1166","FJSYCA1167","FJSYCA1168","FJSYCA1169","FJSYCA1170","FJSYCA1171","FJSYCA1172","FJSYCA1173","FJSYCA1174","FJSYCA1181","FJSYCA1182","FJSYCA1185","FJSYCA1186","FJSYCA1188","FJSYCA1191","FJSYCA1192","FJSYCA1194","FJSYCA1197","FJSYCA1198","FJSYCA1202","FJSYCA1203","FJSYCA1205","FJSYCA1206","FJSYCA1213","FJSYCA1218","FJSYCA2004","FJSYCA2005","FJSYCA2008","FJSYCA2011","FJSYCA2019","FJSYCA2020","FJSYCA2022","FJSYCA2034","FJSYCA2035","FJSYCA2037","FJSYCA2038","FJSYCA2044","FJSYCA2054","FJSYCA2058","FJSYCA2067","FJSYCA2073","FJSYCA2075","FJSYCA2079","FJSYCA2081","FJSYCA2088","FJSYCA2094","FJSYCA2097","FJSYCA2102","FJSYCA2105","FJSYCB1012","FJSYCB1016","FJSYCB1027","FJSYCB1032","FJSYCB1043","FJSYCB1049","FJSYCB1059","FJSYCB1067","FJSYCB1089","FJSYCB1093","FJSYCB1094","FJSYCB1099","FJSYCB1110","FJSYCB1120","FJSYCB1130","FJSYCB1131","FJSYCB1133","FJSYCB1135","FJSYCB1140","FJSYCB1146","FJSYCB1148","FJSYCB1151","FJSYCB1154","FJSYCB1159","FJSYCB1160","FJSYCB1166","FJSYCB1167","FJSYCB1168","FJSYCB1169","FJSYCB1170","FJSYCB1171","FJSYCB1174","FJSYCB1181","FJSYCB1182","FJSYCB1185","FJSYCB1188","FJSYCB1197","FJSYCB1203","FJSYCB1205","FJSYCB1206","FJSYCB1213","FJSYCB1218","FJSYCB2004","FJSYCB2005","FJSYCB2008","FJSYCB2019","FJSYCB2020","FJSYCB2034","FJSYCB2035","FJSYCB2037","FJSYCB2038","FJSYCB2067","FJSYCB2073","FJSYCB2075","FJSYCB2079","FJSYCB2081"
"k__Bacteria",1,1,1,1,0.999734916763864,0.999694339161267,1,1,1,1,1,1,1,0.99974390712365,0.999429935511455,1,0.998755732518042,1,0.999920229738354,1,0.993608716166945,0.999656180161595,0.994474153297683,1,0.950945464510825,1,0.999109070349176,1,1,0.999869884848091,0.99970818066859,0.999357757991534,0.996411483253589,1,1,1,1,1,1,1,1,1,0.999906416695262,1,1,1,1,1,0.971209787816564,1,1,1,1,0.965507472200581,0.999696440768005,1,1,1,1,0.998372611656922,1,0.999751422416174,1,1,1,1,1,0.999643684304294,0.998380726698262,1,0.999772701443346,0.999752681856123,0.996170162620787,1,1,0.992940417120497,0.99979257415474,0.99759521005104,0.999556999409333,1,0.973358882432934,0.999773442416614,0.999803041046246,0.999529623494284,0.998258249776397,1,0.999680241189503,0.991928052780952,1,1,0.997063659854358,1,0.907247107600078,0.999583333333333,0.985653423673134,0.996921764042547,0.99031912451213,0.999564489112228,0.999795647287218,0.999505246449113,0.99842801784017,0.999116680928589,0.999626740323243,1,0.947912803395558,0.999946156952483,0.993891138719198,1,0.998602620087336,1,1,0.999934359512948,0.999632386729161,0.999948292355025,0.999896356946676,0.999454396653633,0.999491322561341,1,1,1,1,1,1,0.992901936461994,1,0.997459614382491,0.999606487337325,1,0.999931715755451,1,1,0.997265194497735,0.997859327217125,0.999781747887631,1,1,0.992780688341313,0.999817986567409,0.998447054256042,0.999922387364663,1,1,1,1,1,1,1,1,0.999932215644629,0.999890458976887,1,0.998857892690513,0.940942236380379,0.999184035063179,0.9998088998089,1,1,0.999624957381521,1,1,0.999677367317309,1,1,1,1,1,0.967884260209317,1,1,1,1,1,0.999085144641787,1,1,0.999586310643099,1
"k__Archaea",0,0,0,0,0,0.000305660838733341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000257367134216961,0.000343819838404676,0,0,0.0490545354891751,0,0.000651063975602234,0,0,6.50575759547199e-05,0,0,0.00358851674641148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028790212183436,0,0,0,0,0.0336426092499469,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000356315695706396,0,0,0,0,0,0,0,0.00705958287950301,0,0,0,0,0.0266411175670664,0,0,0.000286316133914146,0,0,0,0,0,0,0.00293634014564247,0,0.0927528923999216,0.000416666666666667,0,0.000121910334948645,0,0,0,0,0,0,0,0,0.0447109243004904,5.38430475164894e-05,0,0,0.00129257641921397,0,0,6.56404870524139e-05,0,0,0,0.000545603346367191,0,0,0,0,0,0,0,0.00709806353800565,0,0,0,0,0,0,0,0.0027348055022654,0,0,0,0,0,0,0.00145588663496069,0,0,0,0,0,0,0,0,0,0,0,0,0.000121500777604977,0.0590577636196212,0.000815964936821001,0.000191100191100191,0,0,0,0,0,0.000107544227563586,0,0,0,0,0,0.0321157397906834,0,0,0,0,0,0,0,0,0,0
"Unassigned",0,0,0,0,0.000265083236136147,0,0,0,0,0,0,0,0,0.000256092876349823,0.000570064488545267,0,0.00124426748195812,0,7.97702616464582e-05,0,0.00613391669883756,0,0.00552584670231729,0,0,0,0.000239865675221876,0,0,6.50575759547199e-05,0.000291819331409487,0.000642242008465917,0,0,0,0,0,0,0,0,0,0,9.35833047384347e-05,0,0,0,0,0,0,0,0,0,0,0.000849918549472342,0.000303559231995143,0,0,0,0,0.00162738834307757,0,0.000248577583825885,0,0,0,0,0,0,0.00161927330173776,0,0.000227298556654165,0.00024731814387733,0.00382983737921282,0,0,0,0.000207425845260319,0.00240478994895956,0.000443000590667454,0,0,0.000226557583385777,0.000196958953754038,0.000184060371801951,0.00174175022360307,0,0.000319758810497225,0.00807194721904832,0,0,0,0,0,0,0.0143465763268658,0.00295632562250465,0.00968087548787021,0.000435510887772194,0.000204352712782262,0.000494753550887464,0.00157198215983037,0.000883319071410826,0.00037325967675712,0,0.00737627230395187,0,0.0061088612808017,0,0.000104803493449782,0,0,0,0.000367613270839077,5.17076449753096e-05,0.000103643053324351,0,0.000508677438659485,0,0,0,0,0,0,0,0,0.00254038561750912,0.000393512662675324,0,6.82842445486411e-05,0,0,0,0.00214067278287462,0.000218252112368659,0,0,0.00721931165868699,0.000182013432591325,9.70591089973794e-05,7.76126353370329e-05,0,0,0,0,0,0,0,0,6.77843553707804e-05,0.000109541023113156,0,0.0010206065318818,0,0,0,0,0,0.000375042618479373,0,0,0.000215088455127171,0,0,0,0,0,0,0,0,0,0,0,0.000914855358213193,0,0,0.000413689356901091,0
